Semester;Code;Studiengang;männlich;weiblich;Insgesamt
WS 2011/12;SF053;Evangelische Theologie, - Religionslehre;473;692;1165
WS 2011/12;SF464;Facility Management;261;222;483
WS 2011/12;SF235;Fahrzeugtechnik;2479;159;2638
WS 2011/12;SF212;Feinwerktechnik;216;11;227
WS 2011/12;SF202;Fertigungs-/Produktionstechnik;1212;149;1361
WS 2011/12;SF054;Film und Fernsehen;159;171;330
WS 2011/12;SF266;Finanzverwaltung;206;276;482
WS 2011/12;SF056;Finno-Ugristik;7;24;31
WS 2011/12;SF058;Forstwissenschaft, -wirtschaft;847;375;1222
WS 2011/12;SF059;Französisch;244;1270;1514
WS 2011/12;SF019;Friesisch (2007 aufgelöst);-;-;-
WS 2011/12;SF060;Gartenbau;202;184;386
WS 2011/12;SF062;Gehörlosen-/Schwerhörigenpäd. (ab 2016 zu SF190);5;79;84
WS 2011/12;SF063;Geistigbeh./Prakt.-Bildb.-Pädag.(ab 2016 zu SF190);26;136;162
WS 2011/12;SF050;Geografie/Erdkunde;1671;1654;3325
WS 2011/12;SF065;Geologie/Paläontologie;59;42;101
WS 2011/12;SF385;Geoökologie;-;-;-
WS 2011/12;SF066;Geophysik;168;94;262
WS 2011/12;SF039;Geowissenschaften;1590;868;2458
WS 2011/12;SF067;Germanistik/Deutsch;3009;10825;13834
WS 2011/12;SF230;Gesang;85;104;189
WS 2011/12;SF068;Geschichte;2957;2320;5277
WS 2011/12;SF275;Geschichte der Mathematik und Naturwissenschaft;2;4;6
WS 2011/12;SF195;Gesundheitspädagogik;58;348;406
WS 2011/12;SF215;Gesundheitstechnik;1200;829;2029
WS 2011/12;SF232;Gesundheitswissenschaften/-management;1265;3353;4618
WS 2011/12;SF216;Glastechnik/Keramik;19;8;27
WS 2011/12;SF069;Grafikdesign/Kommunikationsgestaltung;1098;1543;2641
WS 2011/12;SF070;Griechisch;26;42;68
WS 2011/12;SF115;Grundschul-/Primärstufenpädagogik;49;341;390
WS 2011/12;SF071;Haushalts- und Ernährungswissenschaft;198;1100;1298
WS 2011/12;SF333;Haushaltswissenschaft;5;31;36
WS 2011/12;SF073;Hebräisch/Judaistik;21;35;56
WS 2011/12;SF082;Holz-/Fasertechnik;267;49;316
WS 2011/12;SF197;Holzbau;145;24;169
WS 2011/12;SF075;Holzwirtschaft;41;14;55
WS 2011/12;SF076;Hütten- und Gießereiwesen;150;38;188
